x,y
-154.34649658203125,-366.0367431640625
-155.9859619140625,-369.6951599121094
-157.71047973632812,-373.26971435546875
-160.08094787597656,-377.9189453125
-162.25900268554688,-382.04815673828125
-164.4630584716797,-386.1839904785156
-166.7006072998047,-390.3711242675781
-168.88525390625,-394.45703125
-171.1842803955078,-398.7567138671875
-173.70095825195312,-403.4631042480469
-175.9624786376953,-407.73260498046875
-178.0543670654297,-412.04705810546875
-179.92543029785156,-416.23931884765625
-181.3253936767578,-419.6348876953125
-182.68304443359375,-423.22021484375
-183.67608642578125,-426.21148681640625
-184.5281219482422,-429.4818115234375
-185.2502899169922,-432.7152099609375
-185.8592987060547,-435.6472473144531
-186.3963165283203,-438.2770690917969
-186.9970703125,-441.2244567871094
-187.61306762695312,-444.2427673339844
-188.2355194091797,-447.2886962890625
-188.9680633544922,-450.86956787109375
-189.63668823242188,-454.1351013183594
-190.320556640625,-457.47320556640625
-190.93019104003906,-460.447265625
-191.64454650878906,-463.930419921875
-192.3598175048828,-467.41607666015625
-193.12228393554688,-471.12945556640625
-193.8815460205078,-474.8254699707031
-194.67779541015625,-478.69873046875
-195.4846954345703,-482.62139892578125
-196.29891967773438,-486.5768737792969
-197.0320587158203,-490.1358337402344
-197.86788940429688,-494.34814453125
-198.71939086914062,-498.9179992675781
-199.4089813232422,-502.7830810546875
-200.04937744140625,-506.45147705078125
-200.68785095214844,-510.1418762207031
-201.3216094970703,-513.8142700195312
-201.95545959472656,-517.4879760742188
-202.59255981445312,-521.1787109375
-203.22189331054688,-524.8228149414062
-203.95620727539062,-529.0725708007812
-204.62014770507812,-532.9132080078125
-205.27267456054688,-536.6859130859375
-206.0218963623047,-541.0151977539062
-206.6935272216797,-544.894287109375
-207.39450073242188,-548.9404296875
-208.18942260742188,-553.5258178710938
-208.83010864257812,-557.2183837890625
-209.63967895507812,-561.8812255859375
-210.3656463623047,-566.0592651367188
-211.11453247070312,-570.3659057617188
-211.78599548339844,-575.3560180664062
-212.14051818847656,-579.6588134765625
-212.27903747558594,-583.7780151367188
-212.2867889404297,-587.5935668945312
-212.24017333984375,-591.501953125
-212.16940307617188,-595.7785034179688
-212.10134887695312,-599.6876220703125
-212.034912109375,-603.5299682617188
-211.96954345703125,-607.3733520507812
-211.89637756347656,-611.7306518554688
-211.82081604003906,-616.2802734375
-211.7519073486328,-620.4647216796875
-211.67454528808594,-625.2026977539062
-211.60247802734375,-629.6575317382812
-211.5313262939453,-634.0946655273438
-211.4530029296875,-639.0210571289062
-211.3824920654297,-643.4716796875
-211.29876708984375,-648.2840576171875
-211.1178436279297,-653.3901977539062
-210.9239959716797,-657.2955932617188
-210.59356689453125,-661.1900024414062
-210.1216583251953,-664.3890380859375
